Year,Month,TtlP0
1981,6,33.3
1981,7,87.9
1981,8,43.6
1981,9,52.9
1981,10,43
1981,11,41.5
1981,12,6
1982,1,11.3
1982,2,13.1
1982,3,6.4
1982,4,13.9
1982,5,33.7
1982,6,13.3
1982,7,62.7
1982,8,22.4
1982,9,31.7
1982,10,25.4
1982,11,22
1982,12,13.2
1983,1,30.1
1983,2,27.2
1983,3,3.3
1983,4,5.8
1983,5,29
1983,6,50.3
1983,7,53.8
1983,8,82.2
1983,9,26
1983,10,20.6
1983,11,6.6
1983,12,11.3
1984,1,24.1
1984,2,23.6
1984,3,8.2
1984,4,8.5
1984,5,33.5
1984,6,27
1984,7,44.6
1984,8,48.7
1984,9,25
1984,10,14.4
1984,11,14.7
1984,12,28.9
1985,1,27.6
1985,2,17
1985,3,5.6
1985,4,8.9
1985,5,20.5
1985,6,69.8
1985,7,88.4
1985,8,48.8
1985,9,28.5
1985,10,23.1
1985,11,17.2
1985,12,10.9
1986,1,27.7
1986,2,4.7
1986,3,16.9
1986,4,5.8
1986,5,30
1986,6,47.4
1986,7,73
1986,8,44.5
1986,9,8
1986,10,9
1986,11,20.9
1986,12,14.5
1987,1,11.7
1987,2,25.7
1987,3,8.3
1987,4,9.2
1987,5,22.3
1987,6,26.6
1987,7,53.4
1987,8,34.6
1987,9,43.1
1987,10,42.9
1987,11,32.4
1987,12,25.2
1988,1,12.4
1988,2,14.8
1988,3,13.9
1988,4,4.1
1988,5,23.8
1988,6,26.2
1988,7,68.8
1988,8,28.6
1988,9,9.8
1988,10,26.6
1988,11,22
1988,12,21.3
1989,1,14
1989,2,6
1989,3,5.6
1989,4,0.2
1989,5,32.6
1989,6,49.1
1989,7,13.1
1989,8,20.4
1989,9,23.8
1989,10,18.6
1989,11,35.9
1989,12,12
1990,1,11.6
1990,2,21.9
1990,3,6.8
1990,4,1.6
1990,5,48.4
1990,6,57
1990,7,13
1990,8,41
1990,9,45
1990,10,34
1990,11,23.2
1990,12,40
