Year,Month,TtlP
1968,6,86.1
1968,7,47.2
1968,8,66.8
1968,9,62.2
1968,10,67.3
1968,11,97.3
1968,12,103.9
1969,1,80.5
1969,2,20.3
1969,3,47.8
1969,4,98.6
1969,5,94.5
1969,6,117.3
1969,7,59.7
1969,8,88.9
1969,9,113.5
1969,10,57.2
1969,11,109.7
1969,12,108
1970,1,18.8
1970,2,45.5
1970,3,52.6
1970,4,63
1970,5,52.1
1970,6,48.5
1970,7,54.9
1970,8,103.1
1970,9,117.3
1970,10,83.3
1970,11,75.9
1970,12,91.7
1971,1,64.3
1971,2,126
1971,3,68.8
1971,4,45.5
1971,5,39.1
1971,6,48
1971,7,56.4
1971,8,103.9
1971,9,77.5
1971,10,38.6
1971,11,53.6
1971,12,84.1
1972,1,38.9
1972,2,82.6
1972,3,120.1
1972,4,59.7
1972,5,68.1
1972,6,134.6
1972,7,156
1972,8,126.2
1972,9,66
1972,10,82.6
1972,11,90.7
1972,12,154.2
1973,1,66.8
1973,2,66.3
1973,3,89.4
1973,4,71.4
1973,5,120.4
1973,6,93
1973,7,75.9
1973,8,88.4
1973,9,91.2
1973,10,57.2
1973,11,62
1973,12,150.4
1974,1,64.5
1974,2,40.1
1974,3,93.2
1974,4,96.5
1974,5,104.9
1974,6,66.3
1974,7,145
1974,8,34
1974,9,46.7
1974,10,27.4
1974,11,87.1
1974,12,90.2
1975,1,61.2
1975,2,46.2
1975,3,83.1
1975,4,60.2
1975,5,73.2
1975,6,86.9
1975,7,154.7
1975,8,87.9
1975,9,227.6
1975,10,90.4
1975,11,119.9
1975,12,99.3
1976,1,100.1
1976,2,108.5
1976,3,89.2
1976,4,81.5
1976,5,119.4
1976,6,84.6
1976,7,104.4
1976,8,80
1976,9,109
1976,10,115.1
1976,11,43.7
1976,12,47.8
1977,1,57.7
1977,2,47.3
1977,3,87.7
1977,4,67.2
1977,5,24.4
1977,6,106.8
1977,7,72.6
1977,8,81.9
1977,9,144.9
1977,10,112.9
1977,11,90.6
1977,12,72.4
1978,1,103.9
1978,2,7.7
1978,3,103.7
1978,4,65.7
1978,5,43
1978,6,89
1978,7,50.5
1978,8,96.9
1978,9,37.1
1978,10,88
1978,11,75.7
1978,12,76.7
1979,1,113.1
1979,2,19
1979,3,56.4
1979,4,116.1
1979,5,87
1979,6,32.5
1979,7,38.4
1979,8,99.2
1979,9,130.7
1979,10,95.4
1979,11,71.1
1979,12,64.3
1980,1,29
1980,2,15.3
1980,3,61.4
1980,4,104.7
1980,5,46.5
1980,6,44.2
1980,7,182.6
1980,8,66.4
1980,9,139.6
1980,10,67.9
1980,11,79.4
1980,12,75.1
1981,1,18.5
1981,2,111.3
1981,3,34.6
1981,4,70.2
1981,5,88.6
1981,6,107
1981,7,85.4
1981,8,144.2
1981,9,77.3
1981,10,103.2
1981,11,86.4
1981,12,56.2
1982,1,66.6
1982,2,32.7
1982,3,92
1982,4,40.7
1982,5,15.2
1982,6,78.8
1982,7,63.4
1982,8,169.6
1982,9,94.2
1982,10,26.5
1982,11,101.5
1982,12,69.6
1983,1,57.8
1983,2,70.5
1983,3,58.9
1983,4,150
1983,5,137.1
1983,6,39.6
1983,7,67.4
1983,8,32.8
1983,9,76.9
1983,10,85.3
1983,11,189.7
