30.92,75.90
31.00,91.70
31.08,64.30
31.17,126.00
31.25,68.80
31.33,45.50
31.42,39.10
31.50,48.00
31.58,56.40
31.67,103.90
31.75,77.50
31.83,38.60
31.92,53.60
32.00,84.10
32.08,38.90
32.17,82.60
32.25,120.10
32.33,59.70
32.42,68.10
32.50,134.60
32.58,156.00
32.67,126.20
32.75,66.00
32.83,82.60
32.92,90.70
33.00,154.20
33.08,66.80
33.17,66.30
33.25,89.40
33.33,71.40
33.42,120.40
33.50,93.00
33.58,75.90
33.67,88.40
33.75,91.20
33.83,57.20
33.92,62.00
34.00,150.40
34.08,64.50
34.17,40.10
34.25,93.20
34.33,96.50
34.42,104.90
34.50,66.30
34.58,145.00
34.67,34.00
34.75,46.70
34.83,27.40
34.92,87.10
35.00,90.20
35.08,61.20
35.17,46.20
35.25,83.10
35.33,60.20
35.42,73.20
35.50,86.90
35.58,154.70
35.67,87.90
35.75,227.60
35.83,90.40
35.92,119.90
36.00,99.30
36.08,100.10
36.17,108.50
36.25,89.20
36.33,81.50
36.42,119.40
36.50,84.60
36.58,104.40
36.67,80.00
36.75,109.00
36.83,115.10
36.92,43.70
37.00,47.80
37.08,57.70
37.17,47.30
37.25,87.70
37.33,67.20
37.42,24.40
37.50,106.80
37.58,72.60
37.67,81.90
37.75,144.90
37.83,112.90
37.92,90.60
38.00,72.40
38.08,103.90
38.17,7.70
38.25,103.70
38.33,65.70
38.42,43.00
38.50,89.00
38.58,50.50
38.67,96.90
38.75,37.10
38.83,88.00
38.92,75.70
39.00,76.70
39.08,113.10
39.17,19.00
39.25,56.40
39.33,116.10
39.42,87.00
39.50,32.50
39.58,38.40
39.67,99.20
39.75,130.70
39.83,95.40
39.92,71.10
40.00,64.30
40.08,29.00
40.17,15.30
40.25,61.40
40.33,104.70
40.42,46.50
40.50,44.20
40.58,182.60
40.67,66.40
40.75,139.60
40.83,67.90
40.92,79.40
41.00,75.10
41.08,18.50
41.17,111.30
41.25,34.60
41.33,70.20
41.42,88.60
41.50,107.00
41.58,85.40
41.67,144.20
41.75,77.30
41.83,103.20
41.92,86.40
42.00,56.20
42.08,66.60
42.17,32.70
42.25,92.00
42.33,40.70
42.42,15.20
42.50,78.80
42.58,63.40
42.67,169.60
42.75,94.20
42.83,26.50
42.92,101.50
43.00,69.60
43.08,57.80
43.17,70.50
43.25,58.90
43.33,150.00
43.42,137.10
43.50,39.60
43.58,67.40
43.67,32.80
43.75,76.90
43.83,85.30
43.92,189.70
44.00,157.40
44.08,27.40
44.17,65.20
44.25,34.50
44.33,76.20
44.42,118.10
44.50,100.20
44.58,60.10
44.67,112.40
44.75,28.80
44.83,49.00
44.92,87.80
45.00,101.20
45.08,61.30
45.17,64.50
45.25,109.90
45.33,64.10
45.42,41.60
45.50,95.20
45.58,67.20
45.67,78.30
45.75,71.10
45.83,84.80
45.92,74.80
46.00,58.20
46.08,105.70
46.17,39.00
46.25,60.60
46.33,49.40
46.42,82.40
46.50,115.80
46.58,93.60
46.67,131.60
46.75,117.40
46.83,57.00
46.92,72.40
47.00,109.00
47.08,60.70
47.17,33.20
47.25,66.20
47.33,36.80
47.42,55.00
47.50,129.00
47.58,131.00
47.67,54.60
47.75,108.20
47.83,56.90
47.92,115.90
48.00,53.40
48.08,26.40
48.17,74.60
48.25,26.40
48.33,78.80
48.42,50.20
48.50,72.00
48.58,31.20
48.67,159.00
48.75,41.80
48.83,87.80
48.92,117.80
49.00,37.20
49.08,66.00
49.17,30.60
49.25,75.20
49.33,52.00
49.42,83.20
49.50,84.60
49.58,30.00
49.67,119.20
49.75,57.40
49.83,125.00
49.92,175.80
50.00,43.20
50.08,81.00
50.17,86.60
50.25,46.40
50.33,100.10
50.42,79.20
50.50,68.80
50.58,132.40
50.67,84.40
50.75,79.20
50.83,118.80
50.92,86.90
51.00,147.80
51.08,75.60
51.17,50.00
51.25,94.70
51.33,122.40
51.42,91.20
51.50,34.80
51.58,85.40
51.67,111.60
51.75,69.80
51.83,70.70
51.92,31.50
52.00,75.70
52.08,92.50
52.17,91.00
52.25,73.30
52.33,41.20
52.42,56.40
52.50,76.40
52.58,137.20
52.67,70.00
52.75,108.20
52.83,79.00
52.92,100.20
53.00,25.80
53.08,118.60
53.17,65.40
53.25,70.00
53.33,151.00
53.42,86.70
53.50,93.40
53.58,90.20
53.67,43.60
53.75,122.60
53.83,123.20
53.92,98.20
54.00,65.80
54.08,88.80
54.17,65.40
54.25,64.40
54.33,98.60
54.42,100.40
54.50,143.80
54.58,50.60
54.67,84.60
54.75,67.20
54.83,19.80
54.92,40.20
55.00,53.60
55.08,114.10
55.17,57.20
55.25,45.80
55.33,70.20
55.42,81.50
55.50,56.60
55.58,122.10
55.67,127.40
55.75,59.60
55.83,182.70
55.92,136.70
56.00,68.20
56.08,70.40
